Año,Mes,Región,Frecuencia 2024,Frecuencia 2025,fuente
2025,Marzo,Región de Arica y Parinacota,1,3,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Tarapacá,2,1,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Antofagasta,5,0,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Atacama,5,1,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Coquimbo,4,0,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Valparaíso,11,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región Metropolitana de Santiago,47,43,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región del Libertador Gral. Bernardo O’Higgins,3,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región del Maule,2,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Ñuble,4,0,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región del Biobío,12,5,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de La Araucanía,3,0,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Los Ríos,5,1,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Los Lagos,7,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Aysén del Gral. Carlos Ibáñez del Campo,2,1,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Marzo,Región de Magallanes y de la Antártica Chilena,0,2,Carabineros de Chile y la Policía de Investigaciones de Chile
