Año,Mes,Región,Frecuencia 2017,Frecuencia 2018,fuente,AñoConsulta,MesConsulta,Frecuencia 2019,Frecuencia 2020,Frecuencia 2021,Frecuencia 2022,Frecuencia 2023,Frecuencia 2024,Frecuencia 2025
2023,Septiembre,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,6.0,6.0,,
2023,Septiembre,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,15.0,10.0,,
2023,Septiembre,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,47.0,47.0,,
2023,Septiembre,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,5.0,6.0,,
2023,Septiembre,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,3.0,5.0,,
2023,Septiembre,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,0.0,1.0,,
2023,Septiembre,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,11.0,14.0,,
2023,Septiembre,Región de La Araucanía,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,3.0,0.0,,
2023,Septiembre,Región de Los Ríos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,5.0,2.0,,
2023,Septiembre,Región de Los Lagos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,6.0,5.0,,
2023,Septiembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,2.0,0.0,,
2023,Septiembre,Región de Magallanes y de la Antártica Chilena,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Septiembre,,,,0.0,0.0,,
2023,Octubre,Región de Arica y Parinacota,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,3.0,0.0,,
2023,Octubre,Región de Tarapacá,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,8.0,1.0,,
2023,Octubre,Región de Antofagasta,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,6.0,6.0,,
2023,Octubre,Región de Atacama,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,0.0,2.0,,
2023,Octubre,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,6.0,2.0,,
2023,Octubre,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,16.0,6.0,,
2023,Octubre,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,39.0,50.0,,
2023,Octubre,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,3.0,4.0,,
2023,Octubre,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,4.0,3.0,,
2023,Octubre,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,0.0,1.0,,
2023,Octubre,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,5.0,5.0,,
2023,Octubre,Región de La Araucanía,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,7.0,3.0,,
2023,Octubre,Región de Los Ríos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,5.0,2.0,,
2023,Octubre,Región de Los Lagos,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,4.0,1.0,,
2023,Octubre,Región de Aysén del Gral. Carlos Ibáñez del Campo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,0.0,0.0,,
2023,Octubre,Región de Magallanes y de la Antártica Chilena,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Octubre,,,,1.0,1.0,,
2023,Noviembre,Región de Arica y Parinacota,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,6.0,3.0,,
2023,Noviembre,Región de Tarapacá,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,4.0,1.0,,
2023,Noviembre,Región de Antofagasta,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,5.0,1.0,,
2023,Noviembre,Región de Atacama,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,3.0,1.0,,
2023,Noviembre,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,3.0,3.0,,
2023,Noviembre,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,9.0,10.0,,
2023,Noviembre,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,48.0,53.0,,
2023,Noviembre,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,5.0,3.0,,
2023,Noviembre,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,10.0,4.0,,
2023,Noviembre,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2023,Noviembre,,,,3.0,1.0,,
