Año,Mes,Región,Frecuencia 2024,Frecuencia 2025,fuente
2025,Febrero,Región de Arica y Parinacota,1,3,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Tarapacá,3,0,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Antofagasta,4,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Atacama,2,1,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Coquimbo,5,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Valparaíso,7,12,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región Metropolitana de Santiago,40,40,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región del Libertador Gral. Bernardo O’Higgins,2,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región del Maule,5,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Ñuble,2,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región del Biobío,6,8,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de La Araucanía,4,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Los Ríos,1,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Los Lagos,1,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Febrero,Región de Magallanes y de la Antártica Chilena,1,1,Carabineros de Chile y la Policía de Investigaciones de Chile
