Año,Mes,Region,Frecuencia,fuente
2020,Mayo,Región de Arica y Parinacota,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Tarapacá,7,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Antofagasta,16,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Atacama,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Coquimbo,13,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Valparaíso,27,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región Metropolitana de Santiago,117,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región del Libertador Gral. Bernardo O’Higgins,10,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región del Maule,8,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Ñuble,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región del Biobío,30,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de La Araucanía,11,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Los Ríos,5,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Los Lagos,12,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2020,Mayo,Región de Magallanes y de la Antártica Chilena,0,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
