Año,Mes,Region,Frecuencia,fuente
2024,Mayo,Región de Arica y Parinacota,2,CEAD
2024,Mayo,Región de Tarapacá,2,CEAD
2024,Mayo,Región de Antofagasta,3,CEAD
2024,Mayo,Región de Atacama,1,CEAD
2024,Mayo,Región de Coquimbo,5,CEAD
2024,Mayo,Región de Valparaíso,6,CEAD
2024,Mayo,Región Metropolitana de Santiago,29,CEAD
2024,Mayo,Región del Libertador Gral. Bernardo O’Higgins,4,CEAD
2024,Mayo,Región del Maule,4,CEAD
2024,Mayo,Región de Ñuble,0,CEAD
2024,Mayo,Región del Biobío,4,CEAD
2024,Mayo,Región de La Araucanía,3,CEAD
2024,Mayo,Región de Los Ríos,0,CEAD
2024,Mayo,Región de Los Lagos,1,CEAD
2024,Mayo,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,CEAD
2024,Mayo,Región de Magallanes y de la Antártica Chilena,0,CEAD
