Año,Mes,Region,Frecuencia,fuente
2023,Diciembre,Región de Arica y Parinacota,4,CEAD
2023,Diciembre,Región de Tarapacá,6,CEAD
2023,Diciembre,Región de Antofagasta,3,CEAD
2023,Diciembre,Región de Atacama,2,CEAD
2023,Diciembre,Región de Coquimbo,4,CEAD
2023,Diciembre,Región de Valparaíso,9,CEAD
2023,Diciembre,Región Metropolitana de Santiago,44,CEAD
2023,Diciembre,Región del Libertador Gral. Bernardo O’Higgins,3,CEAD
2023,Diciembre,Región del Maule,5,CEAD
2023,Diciembre,Región de Ñuble,3,CEAD
2023,Diciembre,Región del Biobío,5,CEAD
2023,Diciembre,Región de La Araucanía,5,CEAD
2023,Diciembre,Región de Los Ríos,2,CEAD
2023,Diciembre,Región de Los Lagos,2,CEAD
2023,Diciembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2023,Diciembre,Región de Magallanes y de la Antártica Chilena,1,CEAD
