Año,Mes,Region,Frecuencia,fuente
2021,Julio,Región de Arica y Parinacota,0,CEAD
2021,Julio,Región de Tarapacá,3,CEAD
2021,Julio,Región de Antofagasta,1,CEAD
2021,Julio,Región de Atacama,2,CEAD
2021,Julio,Región de Coquimbo,3,CEAD
2021,Julio,Región de Valparaíso,6,CEAD
2021,Julio,Región Metropolitana de Santiago,21,CEAD
2021,Julio,Región del Libertador Gral. Bernardo O’Higgins,2,CEAD
2021,Julio,Región del Maule,5,CEAD
2021,Julio,Región de Ñuble,1,CEAD
2021,Julio,Región del Biobío,3,CEAD
2021,Julio,Región de La Araucanía,1,CEAD
2021,Julio,Región de Los Ríos,0,CEAD
2021,Julio,Región de Los Lagos,1,CEAD
2021,Julio,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2021,Julio,Región de Magallanes y de la Antártica Chilena,0,CEAD
