Año,Mes,Region,Frecuencia,fuente
2019,Septiembre,Región de Arica y Parinacota,2,CEAD
2019,Septiembre,Región de Tarapacá,0,CEAD
2019,Septiembre,Región de Antofagasta,2,CEAD
2019,Septiembre,Región de Atacama,0,CEAD
2019,Septiembre,Región de Coquimbo,0,CEAD
2019,Septiembre,Región de Valparaíso,2,CEAD
2019,Septiembre,Región Metropolitana de Santiago,23,CEAD
2019,Septiembre,Región del Libertador Gral. Bernardo O’Higgins,2,CEAD
2019,Septiembre,Región del Maule,4,CEAD
2019,Septiembre,Región de Ñuble,3,CEAD
2019,Septiembre,Región del Biobío,9,CEAD
2019,Septiembre,Región de La Araucanía,2,CEAD
2019,Septiembre,Región de Los Ríos,1,CEAD
2019,Septiembre,Región de Los Lagos,1,CEAD
2019,Septiembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,CEAD
2019,Septiembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
