Año,Mes,Region,Frecuencia,fuente
2018,Junio,Región de Arica y Parinacota,1,CEAD
2018,Junio,Región de Tarapacá,2,CEAD
2018,Junio,Región de Antofagasta,3,CEAD
2018,Junio,Región de Atacama,1,CEAD
2018,Junio,Región de Coquimbo,0,CEAD
2018,Junio,Región de Valparaíso,7,CEAD
2018,Junio,Región Metropolitana de Santiago,22,CEAD
2018,Junio,Región del Libertador Gral. Bernardo O’Higgins,1,CEAD
2018,Junio,Región del Maule,1,CEAD
2018,Junio,Región de Ñuble,0,CEAD
2018,Junio,Región del Biobío,6,CEAD
2018,Junio,Región de La Araucanía,4,CEAD
2018,Junio,Región de Los Ríos,0,CEAD
2018,Junio,Región de Los Lagos,1,CEAD
2018,Junio,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2018,Junio,Región de Magallanes y de la Antártica Chilena,0,CEAD
