Año,Mes,Region,Frecuencia,fuente
2022,Diciembre,Región de Arica y Parinacota,1,CEAD
2022,Diciembre,Región de Tarapacá,3,CEAD
2022,Diciembre,Región de Antofagasta,4,CEAD
2022,Diciembre,Región de Atacama,2,CEAD
2022,Diciembre,Región de Coquimbo,4,CEAD
2022,Diciembre,Región de Valparaíso,8,CEAD
2022,Diciembre,Región Metropolitana de Santiago,34,CEAD
2022,Diciembre,Región del Libertador Gral. Bernardo O’Higgins,1,CEAD
2022,Diciembre,Región del Maule,4,CEAD
2022,Diciembre,Región de Ñuble,3,CEAD
2022,Diciembre,Región del Biobío,9,CEAD
2022,Diciembre,Región de La Araucanía,2,CEAD
2022,Diciembre,Región de Los Ríos,1,CEAD
2022,Diciembre,Región de Los Lagos,4,CEAD
2022,Diciembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2022,Diciembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
