Año,Mes,Region,Frecuencia,fuente
2018,Mayo,Región de Arica y Parinacota,1,CEAD
2018,Mayo,Región de Tarapacá,0,CEAD
2018,Mayo,Región de Antofagasta,1,CEAD
2018,Mayo,Región de Atacama,0,CEAD
2018,Mayo,Región de Coquimbo,1,CEAD
2018,Mayo,Región de Valparaíso,3,CEAD
2018,Mayo,Región Metropolitana de Santiago,29,CEAD
2018,Mayo,Región del Libertador Gral. Bernardo O’Higgins,5,CEAD
2018,Mayo,Región del Maule,2,CEAD
2018,Mayo,Región de Ñuble,2,CEAD
2018,Mayo,Región del Biobío,2,CEAD
2018,Mayo,Región de La Araucanía,3,CEAD
2018,Mayo,Región de Los Ríos,0,CEAD
2018,Mayo,Región de Los Lagos,0,CEAD
2018,Mayo,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,CEAD
2018,Mayo,Región de Magallanes y de la Antártica Chilena,1,CEAD
