Año,Mes,Region,Frecuencia,fuente
2023,Septiembre,Región de Arica y Parinacota,1,CEAD
2023,Septiembre,Región de Tarapacá,3,CEAD
2023,Septiembre,Región de Antofagasta,4,CEAD
2023,Septiembre,Región de Atacama,2,CEAD
2023,Septiembre,Región de Coquimbo,0,CEAD
2023,Septiembre,Región de Valparaíso,7,CEAD
2023,Septiembre,Región Metropolitana de Santiago,40,CEAD
2023,Septiembre,Región del Libertador Gral. Bernardo O’Higgins,5,CEAD
2023,Septiembre,Región del Maule,4,CEAD
2023,Septiembre,Región de Ñuble,2,CEAD
2023,Septiembre,Región del Biobío,10,CEAD
2023,Septiembre,Región de La Araucanía,0,CEAD
2023,Septiembre,Región de Los Ríos,0,CEAD
2023,Septiembre,Región de Los Lagos,5,CEAD
2023,Septiembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2023,Septiembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
