Año,Mes,Region,Frecuencia,fuente
2024,Junio,Región de Arica y Parinacota,2,CEAD
2024,Junio,Región de Tarapacá,2,CEAD
2024,Junio,Región de Antofagasta,4,CEAD
2024,Junio,Región de Atacama,0,CEAD
2024,Junio,Región de Coquimbo,2,CEAD
2024,Junio,Región de Valparaíso,12,CEAD
2024,Junio,Región Metropolitana de Santiago,37,CEAD
2024,Junio,Región del Libertador Gral. Bernardo O’Higgins,1,CEAD
2024,Junio,Región del Maule,1,CEAD
2024,Junio,Región de Ñuble,0,CEAD
2024,Junio,Región del Biobío,15,CEAD
2024,Junio,Región de La Araucanía,6,CEAD
2024,Junio,Región de Los Ríos,1,CEAD
2024,Junio,Región de Los Lagos,1,CEAD
2024,Junio,Región de Aysén del Gral. Carlos Ibáñez del Campo,3,CEAD
2024,Junio,Región de Magallanes y de la Antártica Chilena,0,CEAD
