Año,Mes,Region,Frecuencia,fuente
2020,Octubre,Región de Arica y Parinacota,1,CEAD
2020,Octubre,Región de Tarapacá,1,CEAD
2020,Octubre,Región de Antofagasta,6,CEAD
2020,Octubre,Región de Atacama,1,CEAD
2020,Octubre,Región de Coquimbo,5,CEAD
2020,Octubre,Región de Valparaíso,7,CEAD
2020,Octubre,Región Metropolitana de Santiago,60,CEAD
2020,Octubre,Región del Libertador Gral. Bernardo O’Higgins,4,CEAD
2020,Octubre,Región del Maule,6,CEAD
2020,Octubre,Región de Ñuble,1,CEAD
2020,Octubre,Región del Biobío,11,CEAD
2020,Octubre,Región de La Araucanía,3,CEAD
2020,Octubre,Región de Los Ríos,1,CEAD
2020,Octubre,Región de Los Lagos,1,CEAD
2020,Octubre,Región de Aysén del Gral. Carlos Ibáñez del Campo,3,CEAD
2020,Octubre,Región de Magallanes y de la Antártica Chilena,0,CEAD
