Año,Mes,Region,Frecuencia,fuente
2018,Noviembre,Región de Arica y Parinacota,1,CEAD
2018,Noviembre,Región de Tarapacá,1,CEAD
2018,Noviembre,Región de Antofagasta,2,CEAD
2018,Noviembre,Región de Atacama,0,CEAD
2018,Noviembre,Región de Coquimbo,2,CEAD
2018,Noviembre,Región de Valparaíso,7,CEAD
2018,Noviembre,Región Metropolitana de Santiago,19,CEAD
2018,Noviembre,Región del Libertador Gral. Bernardo O’Higgins,3,CEAD
2018,Noviembre,Región del Maule,6,CEAD
2018,Noviembre,Región de Ñuble,1,CEAD
2018,Noviembre,Región del Biobío,5,CEAD
2018,Noviembre,Región de La Araucanía,4,CEAD
2018,Noviembre,Región de Los Ríos,4,CEAD
2018,Noviembre,Región de Los Lagos,1,CEAD
2018,Noviembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,CEAD
2018,Noviembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
