Año,Mes,Region,Frecuencia,fuente
2021,Septiembre,Región de Arica y Parinacota,0,CEAD
2021,Septiembre,Región de Tarapacá,5,CEAD
2021,Septiembre,Región de Antofagasta,3,CEAD
2021,Septiembre,Región de Atacama,1,CEAD
2021,Septiembre,Región de Coquimbo,1,CEAD
2021,Septiembre,Región de Valparaíso,8,CEAD
2021,Septiembre,Región Metropolitana de Santiago,24,CEAD
2021,Septiembre,Región del Libertador Gral. Bernardo O’Higgins,2,CEAD
2021,Septiembre,Región del Maule,6,CEAD
2021,Septiembre,Región de Ñuble,0,CEAD
2021,Septiembre,Región del Biobío,3,CEAD
2021,Septiembre,Región de La Araucanía,3,CEAD
2021,Septiembre,Región de Los Ríos,0,CEAD
2021,Septiembre,Región de Los Lagos,1,CEAD
2021,Septiembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2021,Septiembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
