Año,Mes,Region,Frecuencia,fuente
2020,Noviembre,Región de Arica y Parinacota,1,CEAD
2020,Noviembre,Región de Tarapacá,0,CEAD
2020,Noviembre,Región de Antofagasta,4,CEAD
2020,Noviembre,Región de Atacama,1,CEAD
2020,Noviembre,Región de Coquimbo,2,CEAD
2020,Noviembre,Región de Valparaíso,6,CEAD
2020,Noviembre,Región Metropolitana de Santiago,42,CEAD
2020,Noviembre,Región del Libertador Gral. Bernardo O’Higgins,8,CEAD
2020,Noviembre,Región del Maule,7,CEAD
2020,Noviembre,Región de Ñuble,3,CEAD
2020,Noviembre,Región del Biobío,3,CEAD
2020,Noviembre,Región de La Araucanía,3,CEAD
2020,Noviembre,Región de Los Ríos,2,CEAD
2020,Noviembre,Región de Los Lagos,1,CEAD
2020,Noviembre,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,CEAD
2020,Noviembre,Región de Magallanes y de la Antártica Chilena,0,CEAD
