Año,Mes,Region,Frecuencia,fuente
2024,Abril,Región de Arica y Parinacota,9,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Tarapacá,17,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Antofagasta,10,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Atacama,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Coquimbo,18,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Valparaíso,34,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región Metropolitana de Santiago,110,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región del Libertador Gral. Bernardo O’Higgins,16,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región del Maule,17,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Ñuble,12,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región del Biobío,25,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de La Araucanía,12,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Los Ríos,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Los Lagos,13,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Aysén del Gral. Carlos Ibáñez del Campo,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
2024,Abril,Región de Magallanes y de la Antártica Chilena,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)"
